"Y","ID","Operator","Date","Priority","Price","Speed","Duration","Temp","Location","Agreed","State","Class","Surface","sensor1","sensor2","sensor3","sensor4","sensor5","sensor6","sensor7","sensor8","sensor9","sensor10","sensor11","sensor12","sensor13","sensor14","sensor15","sensor16","sensor17","sensor18","sensor19","sensor20","sensor21","sensor22","sensor23","sensor24","sensor25","sensor26","sensor27","sensor28","sensor29","sensor30"
26.0306248846718,"G9939","JK",2019-01-12,"Low","Cheap","Medium","Short","Hot","Steam plant","No","Under review","Wooden","Rough",22.0447891006314,18.3964795534214,21.8089080101845,26.7985535400524,22.4026209981889,10.076762212751,32.4637197361923,9.4015137218706,NA,24.6204655397138,98.1610244505278,88.8991662381619,84.263314036802,81.335670908507,93.4835659997309,102.924488695706,91.5656884592677,83.2642479729398,83.8220332287901,92.3644641037053,50.5161842862531,34.2616961967444,46.1665971663545,32.0552922070513,49.0640296347182,63.3284550889942,34.8540487350207,46.7359202246022,38.5845665087712,37.9184328532519
21.2715388070689,"G9940","HI",2019-01-18,"Low","Cheap",NA,"Long","Warm","Storage tanks","Yes","Uncertain",NA,"Rough",16.1071344025775,26.0737869368949,20.8817470970409,27.2930567613007,10.4848914631029,21.5776462254213,22.4242065890003,20.4895393918531,NA,15.1618828557515,77.7355456957447,80.7109729782237,82.7316088069492,74.2181699304125,81.3602594128581,78.1413288012577,82.0868172800195,85.1340721661789,NA,79.9201987871484,-30.6089802568036,-46.2421162518606,NA,-19.7610732447138,-31.185274112708,-53.9034571825129,-16.0187004524912,-17.4919540020375,NA,-30.0511470816359
25.1311929391556,"G9941","JK",2019-01-26,"Medium","Expensive","Fast","Short","Warm","Control room","No","Uncertain","Wooden","Smooth",29.6311570243674,35.0145798246859,35.1279528061397,31.276372083997,28.7048631525111,35.540916791632,42.6948280205093,46.760261761543,48.7639108661924,43.839715378458,83.9452284499869,69.6100305160406,71.4989810141048,79.9767997251316,77.3771139925888,98.4059519038178,74.0369546973701,84.7575761789396,70.605025506169,72.4579286511012,6.87112629524668,27.017921580277,4.21035388830263,6.75775568759914,-7.02426289732907,3.64574961066772,8.26273207215436,-1.3527315878265,5.29305200632105,7.81094084641943
13.0489303273246,"G9942","HI",2019-02-01,"Low","Expensive","Fast","Short","Warm","Storage tanks","No","Checked","Ceramic","Textured",34.8378821227019,40.7176519809486,33.1607430763005,38.9029622303941,35.5787480960474,24.9550873263366,26.3232045378009,38.5761597415427,34.621868680446,33.2923141343043,64.8168316287264,57.1900499254014,75.7853628492483,65.9531326211957,55.2620191931644,65.7898350894313,59.5654966174616,53.3111604043421,71.2514534473241,57.6570739519158,48.9000651069062,51.108078495326,32.320604560068,28.0501689149523,36.3997688351354,47.0843676843354,61.7624900097943,60.0095979996814,16.5153463753773,64.7823321057871
11.7487354981165,"G9943","HI",2019-02-08,"Medium","Fair","Slow","Short","Hot","Control room","No","Checked","Metal","Rough",28.0753568105002,20.978554100608,23.7727474833394,22.9943091333134,26.8587244428242,24.4272721561423,31.820017206292,27.3264052358919,NA,24.0945823956841,50.2679802770033,58.1154812394731,57.1759035370471,71.7007625656511,55.4784229984156,64.0621778697257,48.3089048484069,62.381882340682,72.9122352210867,51.9662632654859,43.6887683210281,39.0006823935427,42.1507349751409,39.2511912232234,48.8737262241811,29.7722733156144,41.4574218718543,70.9980095836259,42.8687160176777,46.5568531675668
27.9501127264073,"G9944","HI",2019-02-16,"High","Expensive","Medium","Short","Warm","Steam plant","No","Under review","Ceramic","Rough",21.9284484050229,28.4741463114036,22.1614502869735,24.5512386926447,27.8311737188652,17.3108476664824,25.9434390355276,23.8388459954583,NA,20.4385074427378,87.438203803135,84.1996178568432,91.4340987223578,95.7315724876054,87.4559590962072,77.3009045934517,84.8224234149252,90.1277932117183,58.9414499581707,80.7225742974462,78.5038319103999,80.3779790941601,75.0654383705342,72.1807259527839,54.1454180900985,65.8104917129978,72.019621215687,86.1867085122587,90.4435645431809,65.1321488608078
21.9257888717555,"G9945","HI",2019-02-23,"Medium","Expensive","Slow","Long","Hot","Storage tanks","Yes","Checked","Wooden","Smooth",19.0796865020947,10.1267722925372,18.57430548015,NA,13.6518548139818,18.4435276435278,21.2777458301801,14.0122655108762,NA,10.0780765809117,NA,68.1393667842995,77.3559731264739,63.2888264781931,61.4122095569929,61.1712662561784,64.3010398915895,61.031432159622,60.6054354611034,61.8033923590118,70.108573934737,65.6459018511108,38.2449834118023,74.4530805303755,82.3666947341868,NA,NA,57.5778011954631,80.1765377829081,NA
23.8153236617385,"G9946","HI",2019-03-01,"High","Expensive","Fast","Long","Hot","Storage tanks","No","Under review","Metal","Smooth",12.028167826947,10.3858790133239,12.4646970837389,13.5927449292725,19.8986924068186,16.138160484166,8.86631725875383,15.9621711582554,NA,9.14371843994021,35.3988209495473,27.8130635273172,28.5817400457113,47.8963279656704,32.5094369405631,37.8327532678491,39.2273618009289,31.7319704326534,45.0889688363408,45.8340055160647,36.8852793708535,36.4640264272775,62.586451338689,44.6308523861958,36.7800557913403,59.7624466444086,53.881883648877,31.9176399206505,47.3970379713559,31.7105547262568
24.8389100824614,"G9947","HI",2019-03-09,"Low","Expensive","Fast","Long","Warm","Storage tanks","Yes","Checked","Wooden","Textured",40.1560663495339,NA,40.9410092989917,49.2130707976681,44.0578682897257,NA,37.2946847596054,41.5367241255895,33.6641663053373,29.436134618485,88.4894403430388,75.9173013304677,74.4147793296623,93.4422373000569,NA,NA,76.3519084276471,94.9545910102361,NA,76.2213875216239,-20.5319457857064,-50.4491946464627,-37.3238672477826,-33.377992258517,-21.7629651306534,-26.7199612154685,-19.3744662606648,-51.3649170144515,-48.2759623332924,-41.6586089512602
23.9371222839333,"G9948","HI",2019-03-15,"Medium","Expensive","Slow","Long","Hot","Storage tanks","No","Under review","Wooden","Rough",26.150598743215,27.0692372137084,24.3866394409821,26.2293752888819,17.6430468109069,26.6771371473485,32.9068462645785,23.1270335881121,NA,18.0833516967041,87.4658344906561,85.1964890781373,90.8552992819822,83.6979262488832,74.4608743338633,88.8144218651555,89.1398403214508,81.9099050268545,87.5145246765954,70.8909231097894,65.778666825867,67.4309671254905,55.4865308351809,66.7159933352411,48.111020049203,83.9010191615544,66.4954049707577,50.3755661305534,56.9591935141381,39.5515191002261
